id_venda,id_cliente,id_produto,data_venda,quantidade,preco_unitario,valor_total
53,1,3,2022-02-02,438,37.4,16383.31
54,7,3,2022-06-03,361,43.86,15834.45
55,8,8,2022-05-17,489,15.34,7501.02
56,8,7,2022-06-24,29,31.81,922.43
57,1,12,2022-04-28,213,28.83,6141.45
58,8,10,2022-03-23,156,11.19,1745.79
59,5,4,2022-03-25,198,36.71,7268.2
60,10,11,2022-04-25,30,14.15,424.38
61,8,3,2022-04-08,331,32.36,10711.79
62,8,15,2022-03-23,248,32.88,8154.9
63,2,13,2022-07-25,454,11.3,5132.41
64,4,15,2022-03-21,264,24.77,6538.2
65,3,10,2022-07-11,406,33.56,13625.75
66,4,11,2022-06-18,244,13.71,3344.35
67,10,1,2022-03-02,325,35.25,11456.29
68,2,6,2022-04-19,434,20.61,8946.01
69,1,6,2022-01-16,360,42.0,15120.74
70,3,14,2022-04-01,274,34.21,9372.51
71,1,7,2022-05-22,107,42.35,4531.42
72,8,1,2022-01-13,456,35.71,16283.5
73,2,13,2022-01-24,402,25.15,10108.84
74,8,3,2022-08-12,202,18.82,3801.03
75,5,2,2022-07-08,51,25.65,1308.08
76,8,5,2022-07-09,285,46.3,13195.0
77,4,9,2022-04-25,152,34.36,5223.33
78,9,12,2022-08-30,146,41.8,6102.47
79,8,7,2022-06-29,237,35.51,8416.43
80,4,14,2022-05-22,334,24.6,8215.87
81,10,11,2022-03-29,322,21.54,6936.38
82,9,14,2022-03-04,180,13.46,2422.62
83,6,2,2022-01-13,366,46.69,17090.34
84,2,7,2022-02-23,324,32.4,10497.39
85,10,14,2022-08-29,14,40.7,569.78
86,9,7,2022-03-15,124,33.09,4103.17
87,4,11,2022-08-26,73,12.21,891.11
88,4,7,2022-01-18,465,30.38,14127.27
89,9,1,2022-03-25,218,23.63,5150.27
90,8,5,2022-03-08,13,11.28,146.7
91,10,6,2022-02-17,118,32.31,3812.92
92,7,9,2022-07-23,218,43.35,9450.04
93,8,5,2022-02-14,293,22.04,6457.54
94,9,14,2022-02-19,309,25.65,7925.54
95,6,13,2022-04-13,385,43.8,16861.45
96,6,12,2022-08-17,72,22.93,1650.87
97,1,6,2022-07-15,424,46.84,19861.82
98,4,3,2022-06-08,234,45.5,10647.12
99,9,11,2022-06-03,49,31.94,1564.91
100,5,13,2022-01-10,89,23.89,2126.3
101,5,9,2022-04-09,204,14.18,2893.74
102,4,13,2022-04-17,283,47.47,13434.96
103,3,8,2022-07-05,169,48.96,8273.51
104,8,4,2022-04-07,149,27.27,4063.64
105,9,1,2022-08-06,471,14.12,6650.47
106,5,7,2022-02-08,295,15.13,4463.32
107,2,11,2022-03-10,471,36.09,16996.07
108,9,13,2022-08-30,183,26.06,4768.41
109,4,5,2022-03-30,401,45.0,18046.13
110,7,1,2022-05-18,46,18.89,868.92
111,5,4,2022-01-26,96,49.58,4759.75
112,4,10,2022-03-22,402,48.7,19576.41
113,10,8,2022-06-20,235,20.53,4824.94
114,4,6,2022-05-19,150,37.04,5555.52
115,6,1,2022-01-28,126,47.65,6004.2
116,10,11,2022-04-06,456,27.13,12369.81
117,8,8,2022-05-23,29,29.72,861.89
118,2,15,2022-03-11,360,16.8,6048.32
119,10,3,2022-06-02,418,36.01,15051.5
120,7,14,2022-05-18,24,31.53,756.72
121,4,12,2022-06-22,22,24.3,534.64
122,2,1,2022-04-11,360,34.51,12424.63
123,5,5,2022-05-18,354,42.76,15136.25
124,5,5,2022-03-28,31,18.72,580.35
125,1,4,2022-08-30,119,48.78,5804.87
126,8,5,2022-01-30,487,47.54,23152.04
127,7,11,2022-08-19,232,26.61,6174.38
128,6,13,2022-07-07,425,39.1,16619.54
129,6,5,2022-06-10,161,19.97,3214.37
130,7,15,2022-08-13,475,33.76,16037.03
131,6,4,2022-03-30,299,21.59,6455.88
132,4,11,2022-03-15,478,43.22,20659.54
133,9,14,2022-04-19,434,43.85,19030.11
134,8,6,2022-05-07,140,36.02,5042.61
135,10,11,2022-02-11,350,43.64,15274.46
136,7,4,2022-03-16,498,27.98,13934.58
137,6,11,2022-08-13,73,11.76,858.68
138,1,6,2022-05-01,390,26.62,10382.3
139,9,6,2022-01-27,499,15.68,7825.06
140,7,2,2022-05-19,16,20.56,329.0
141,4,10,2022-07-04,191,36.72,7014.04
142,9,2,2022-01-02,433,21.69,9390.28
143,8,11,2022-08-26,279,12.07,3368.14
144,9,1,2022-07-31,152,14.48,2200.4
145,10,5,2022-06-11,23,16.59,381.6
146,6,3,2022-02-26,440,37.39,16452.13
147,8,8,2022-07-02,306,24.07,7364.22
148,9,5,2022-06-01,300,36.77,11031.64
149,3,15,2022-02-24,37,19.32,715.01
150,1,12,2022-03-01,197,28.93,5699.19
151,2,11,2022-02-16,189,39.81,7524.98
152,10,6,2022-01-01,253,39.54,10002.88
153,5,6,2022-05-29,85,44.85,3812.45
154,6,4,2022-08-03,354,18.98,6717.5
155,1,13,2022-05-09,167,49.86,8326.18
156,4,12,2022-01-31,120,43.15,5177.5
157,2,3,2022-07-02,362,33.67,12188.95
158,9,6,2022-07-23,80,15.32,1225.41
159,5,13,2022-04-28,422,38.37,16191.56
160,9,8,2022-05-01,364,27.73,10095.38
161,2,8,2022-03-24,335,26.57,8901.98
162,3,14,2022-08-20,138,12.76,1761.2
163,2,10,2022-05-02,308,49.32,15189.5
164,1,2,2022-01-27,189,37.44,7077.02
165,10,13,2022-06-21,424,38.9,16495.37
166,8,15,2022-02-27,215,30.38,6530.73
167,8,14,2022-06-05,388,33.29,12915.63
168,4,7,2022-08-06,375,43.8,16425.05
169,9,6,2022-06-12,352,19.25,6775.0
170,6,8,2022-03-24,237,19.21,4553.78
171,5,2,2022-04-17,482,43.35,20895.19
172,10,7,2022-07-16,318,46.61,14822.36
173,3,10,2022-03-27,225,15.24,3428.81
174,7,7,2022-06-10,224,13.06,2925.47
175,6,13,2022-01-10,452,43.02,19444.09
176,3,6,2022-03-09,176,48.81,8591.2
177,6,3,2022-04-30,167,13.71,2289.16
178,1,7,2022-06-01,265,24.09,6384.11
179,6,7,2022-01-10,115,23.9,2747.98
180,5,1,2022-04-27,296,21.37,6324.87
181,5,2,2022-01-19,155,29.63,4592.38
182,9,13,2022-05-29,164,30.59,5016.53
183,3,2,2022-03-19,43,14.81,636.78
184,5,15,2022-03-28,189,15.6,2948.69
185,3,14,2022-04-19,463,43.13,19971.42
186,2,12,2022-06-18,439,18.72,8218.19
187,3,9,2022-07-21,225,22.06,4964.03
188,3,13,2022-02-21,253,31.15,7881.92
189,4,12,2022-08-28,321,47.56,15267.53
190,4,6,2022-04-02,485,33.7,16343.94
191,10,9,2022-01-06,236,46.21,10904.55
192,3,14,2022-07-16,81,39.57,3205.0
193,9,14,2022-01-18,140,41.22,5771.22
194,7,4,2022-03-24,80,49.72,3977.2
195,8,12,2022-02-21,363,24.57,8919.5
196,7,15,2022-04-06,499,46.66,23284.44
197,4,5,2022-04-27,103,41.36,4260.44
198,2,10,2022-03-14,159,47.61,7570.61
199,3,3,2022-03-31,469,39.96,18742.38
200,7,2,2022-07-07,249,35.29,8787.8
201,6,14,2022-07-01,423,38.42,16253.66
202,6,1,2022-05-06,436,24.75,10789.63
203,9,14,2022-03-20,27,31.17,841.52
204,6,14,2022-01-30,152,38.99,5926.16
205,2,2,2022-06-02,221,31.98,7066.65
206,9,3,2022-04-01,427,27.01,11533.13
207,2,13,2022-06-10,146,43.77,6390.52
208,10,5,2022-06-09,15,29.63,444.44
209,2,11,2022-06-15,171,42.22,7220.46
210,8,11,2022-02-24,120,29.09,3490.94
211,7,13,2022-08-12,168,44.1,7408.06
212,8,10,2022-07-31,175,23.5,4111.71
213,1,13,2022-03-28,269,14.21,3823.54
214,7,8,2022-07-06,186,24.42,4542.86
215,8,7,2022-04-29,11,47.94,527.39
216,5,2,2022-02-22,124,32.37,4013.93
217,2,9,2022-01-12,38,15.63,593.94
218,3,11,2022-01-08,175,24.68,4318.42
219,10,12,2022-05-15,144,36.76,5293.89
220,8,14,2022-01-24,181,17.49,3165.41
221,3,1,2022-04-24,224,23.27,5212.22
222,1,13,2022-06-12,211,20.48,4320.88
223,1,2,2022-08-27,16,27.13,434.03
224,2,10,2022-02-22,486,32.32,15708.48
225,8,6,2022-05-26,16,25.72,411.5
226,5,5,2022-07-30,101,21.04,2124.81
227,8,15,2022-01-12,32,30.77,984.79
228,1,7,2022-04-26,327,39.91,13049.1
229,9,3,2022-06-29,21,45.54,956.42
230,1,11,2022-04-15,337,16.95,5712.21
231,4,9,2022-04-28,410,17.04,6985.76
232,3,9,2022-08-10,236,42.89,10122.81
233,9,8,2022-01-22,321,14.79,4746.86
234,2,7,2022-03-19,18,20.31,365.6
235,10,5,2022-08-15,385,25.43,9791.02
236,6,15,2022-01-23,364,19.14,6966.13
237,8,13,2022-01-20,458,31.18,14282.35
238,4,15,2022-08-24,73,37.48,2735.77
239,3,7,2022-02-17,338,16.28,5503.98
240,1,7,2022-05-04,351,30.98,10872.5
241,1,1,2022-01-06,286,14.54,4158.5
242,3,6,2022-04-15,481,49.85,23977.48
243,5,4,2022-08-25,161,31.25,5031.06
244,8,15,2022-05-31,356,20.96,7460.34
245,3,9,2022-07-08,186,35.55,6613.2
246,3,8,2022-04-30,36,19.69,708.87
247,4,7,2022-06-16,306,34.14,10445.39
248,10,15,2022-04-11,254,22.83,5797.63
249,10,2,2022-03-19,441,23.75,10473.97
250,4,6,2022-07-15,33,41.6,1372.66
251,4,11,2022-03-03,333,34.28,11414.54
252,8,15,2022-05-16,41,15.4,631.36
253,6,2,2022-03-30,357,17.07,6093.04
254,9,6,2022-04-13,270,12.36,3335.93
255,4,8,2022-06-11,384,39.4,15130.24
256,5,4,2022-03-05,145,22.91,3321.69
257,10,1,2022-08-16,119,19.63,2336.36
258,8,7,2022-04-15,420,46.29,19443.77
259,9,13,2022-01-31,161,28.16,4534.5
260,1,7,2022-08-24,69,14.89,1027.1
261,3,6,2022-03-15,66,43.68,2883.0
262,7,4,2022-01-08,66,39.3,2593.64
263,7,7,2022-04-03,433,13.4,5802.73
264,3,7,2022-05-18,257,46.66,11992.11
265,1,6,2022-02-07,30,11.76,352.92
266,2,13,2022-05-28,190,36.97,7024.11
267,10,6,2022-05-31,118,24.45,2884.52
268,1,5,2022-06-26,154,32.62,5022.76
269,1,8,2022-08-18,299,17.56,5250.58
270,3,9,2022-05-09,108,23.93,2584.15
271,7,15,2022-07-13,190,45.16,8581.27
272,10,8,2022-06-03,12,46.64,559.73
273,9,5,2022-06-07,498,25.91,12905.06
274,10,6,2022-06-24,296,45.64,13509.42
275,1,12,2022-05-29,148,21.06,3116.98
276,4,2,2022-06-05,56,20.06,1123.46
277,3,9,2022-03-30,495,36.75,18188.8
278,7,10,2022-01-25,317,26.77,8484.94
279,10,1,2022-07-22,476,14.06,6693.75
280,8,3,2022-06-27,394,24.58,9682.74
281,4,2,2022-01-19,232,13.97,3241.7
282,5,13,2022-03-29,233,46.72,10885.26
283,9,2,2022-06-24,194,25.43,4934.32
284,3,2,2022-03-24,436,49.83,21726.67
285,3,3,2022-04-18,355,16.55,5873.54
286,1,12,2022-07-10,268,35.68,9561.31
287,1,4,2022-02-26,74,46.8,3463.01
288,4,4,2022-06-23,11,12.37,136.05
289,9,8,2022-05-21,215,16.4,3525.11
290,9,4,2022-04-08,332,14.52,4819.15
291,5,9,2022-08-21,136,41.63,5661.96
292,4,15,2022-01-28,39,25.15,980.84
293,6,4,2022-08-05,38,37.65,1430.77
294,8,9,2022-07-27,40,29.46,1178.22
295,6,3,2022-02-18,286,33.73,9645.48
296,7,7,2022-02-11,141,26.26,3703.09
297,2,11,2022-02-28,393,26.63,10465.99
298,10,15,2022-03-27,314,35.98,11297.48
299,1,2,2022-07-26,400,23.01,9203.38
300,6,5,2022-07-07,239,42.23,10092.43
301,3,6,2022-07-11,84,28.51,2394.9
302,3,15,2022-01-31,264,15.75,4157.41
303,7,13,2022-06-28,140,28.47,3986.46
304,10,8,2022-06-03,477,33.64,16045.86
305,3,1,2022-01-27,246,22.83,5616.37
306,4,14,2022-08-11,42,41.46,1741.42
307,7,9,2022-07-27,109,39.86,4344.35
308,5,3,2022-03-09,342,24.81,8483.48
309,9,12,2022-05-06,27,26.79,723.29
310,6,12,2022-01-20,343,13.05,4476.0
311,10,11,2022-05-09,299,44.98,13449.54
312,1,9,2022-07-27,305,43.34,13220.1
313,9,11,2022-06-03,411,41.33,16987.7
314,1,8,2022-07-10,237,38.34,9085.51
315,9,2,2022-06-27,423,27.29,11544.08
316,9,15,2022-04-23,297,42.38,12587.78
317,5,12,2022-04-17,321,38.01,12202.64
318,2,11,2022-01-23,366,17.27,6319.71
319,9,14,2022-02-18,472,35.81,16902.63
320,5,13,2022-08-03,412,13.13,5408.77
321,1,5,2022-05-02,314,37.34,11725.2
322,5,13,2022-04-22,376,25.72,9669.71
323,1,15,2022-01-03,201,14.3,2875.15
324,10,2,2022-03-11,447,31.8,14214.55
325,7,3,2022-03-05,29,41.22,1195.52
326,9,14,2022-05-04,491,33.35,16375.54
327,3,1,2022-03-24,240,34.13,8190.32
328,3,14,2022-05-24,488,39.19,19125.15
329,6,6,2022-04-15,20,29.28,585.65
330,6,1,2022-03-26,485,41.89,20317.26
331,7,10,2022-08-07,320,30.9,9887.34
332,10,2,2022-07-31,276,29.69,8194.42
333,4,14,2022-03-26,491,15.22,7471.71
334,10,11,2022-06-02,142,49.72,7060.26
335,9,12,2022-06-02,282,46.29,13053.64
336,7,2,2022-04-29,181,46.4,8399.02
337,9,7,2022-03-11,199,40.15,7990.6
338,9,1,2022-07-25,225,49.32,11098.01
339,6,3,2022-05-03,426,46.83,19951.07
340,6,7,2022-01-08,10,11.98,119.82
341,10,2,2022-01-02,377,33.29,12551.57
342,8,10,2022-07-29,265,29.12,7718.1
343,1,3,2022-07-29,163,38.43,6264.79
344,3,9,2022-01-06,69,23.44,1617.05
345,4,4,2022-03-26,64,41.1,2630.52
346,9,11,2022-08-28,251,20.02,5024.53
347,6,6,2022-01-27,451,43.43,19586.58
348,6,14,2022-07-11,40,47.63,1905.06
349,7,2,2022-04-12,474,10.62,5032.22
350,4,13,2022-04-19,236,32.54,7678.26
351,9,15,2022-02-10,409,49.34,20181.0
352,9,2,2022-01-04,178,48.93,8709.22
353,5,5,2022-08-01,444,42.26,18763.82
354,6,6,2022-03-20,269,42.17,11343.37
355,5,15,2022-06-13,248,19.78,4905.1
356,2,4,2022-03-17,204,49.37,10071.75
357,10,6,2022-07-31,133,37.79,5025.69
358,9,4,2022-08-30,81,15.74,1274.86
359,8,5,2022-04-05,193,14.76,2848.07
360,4,10,2022-06-19,152,35.73,5431.35
361,9,10,2022-06-21,482,47.91,23090.87
362,1,2,2022-06-11,273,48.68,13289.99
363,4,11,2022-04-02,422,33.45,14114.16
364,5,4,2022-03-14,251,12.21,3064.72
365,8,8,2022-07-03,372,37.6,13987.08
366,9,9,2022-07-18,457,39.15,17890.38
367,1,13,2022-08-01,487,23.3,11345.7
368,5,14,2022-05-05,206,18.43,3795.64
369,6,11,2022-07-26,21,47.84,1004.71
370,5,15,2022-05-30,371,15.03,5575.62
371,1,7,2022-05-07,420,29.91,12563.44
372,1,8,2022-06-21,143,34.85,4983.24
373,10,12,2022-08-16,19,41.16,782.09
374,5,15,2022-08-17,386,45.63,17614.9
